"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"IN1,OUT1,OUT2,OUT3,OUT4,OUT5,OUT6,OUT7,OUT8";"DG142R-2-5.08";9;"Conn_01x02";;;
2;"U1";"SOIC-16W_7.5x10.3mm_Pitch1.27mm";1;"PCF8574";;;
3;"U2";"HLK-PM01";1;"HLK-PM03";;;
4;"U3";"ESP-12";1;"ESP-12";;;
5;"U4,U5,U6,U7,U8,U9,U10,U11";"G3MB-SSR";8;"G3MB-SSR";;;
6;"X2";"Micro-Match-FOB-6";1;"ESP-PROG";;;
7;"X1";"Micro-Match-FOB-4";1;"I2C";;;
8;"C1,C2";"C_0805";2;"47u";;;
9;"C3,C4,C5";"C_0805";3;"100n";;;
10;"D1";"LED_0805";1;"LED";;;
11;"D2";"SOT-23";1;"BAT54C";;;
12;"R1";"R_0805";1;"270R";;;
13;"R2,R3";"R_0805";2;"4k7";;;
14;"R4,R5,R6,R7,R8";"R_0805";5;"10k";;;
15;"REF***";"OSHW-Logo_11.4x12mm_SilkScreen";1;"OSHW-Logo_11.4x12mm_SilkScreen";;;
